trip_id,train_number,route_name,headsign,direction_id,service_id,service_date,stop_sequence,stop_name,stop_gtfs_id,stop_code,platform,scheduled_arrival,scheduled_departure,realtime_arrival,realtime_departure,arrival_delay,departure_delay,realtime_state,scheduled_arrival_time,scheduled_departure_time,realtime_arrival_time,realtime_departure_time,collection_timestamp,data_source,collector_version,stop_lat,stop_lon,weather_temp,weather_feels_like,weather_temp_min,weather_temp_max,weather_pressure,weather_humidity,weather_wind_speed,weather_precipitation
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,0,Budapest-Déli,1:005501016_0,,,68700,68700,68700,68700,0,0,SCHEDULED,19:05:00,19:05:00,19:05:00,19:05:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,47.498889,19.025,0.84,0.84,0.29,1.98,1013,92,1.03,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,1,Budapest-Kelenföld,1:005501024_0,,,69060,69120,69060,69120,0,0,SCHEDULED,19:11:00,19:12:00,19:11:00,19:12:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,47.464444,19.02,0.87,0.87,0.4,2.08,1013,92,1.03,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,2,Székesfehérvár,1:005503269_0,,,71400,71460,71400,71460,0,0,SCHEDULED,19:50:00,19:51:00,19:50:00,19:51:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,47.183611,18.424722,0.21,-2.17,0.21,0.21,1013,96,1.97,0.0
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,3,Balatonalmádi,1:005504366_0,,,74160,74220,74160,74220,0,0,SCHEDULED,20:36:00,20:37:00,20:36:00,20:37:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,47.028333,18.015,0.5,-2.13,0.5,0.5,1013,100,2.22,0.12
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,4,Balatonfüred,1:005504416_0,,,75060,75720,75060,75720,0,0,SCHEDULED,20:51:00,21:02:00,20:51:00,21:02:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.955833,17.883056,0.38,-1.74,0.38,0.38,1013,90,1.79,0.14
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,5,Aszófő,1:005504424_0,,,76020,76080,76020,76080,0,0,SCHEDULED,21:07:00,21:08:00,21:07:00,21:08:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.925556,17.8325,0.48,-1.63,0.48,0.48,1013,90,1.79,0.14
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,6,Örvényes,1:005504432_0,,,76200,76260,76200,76260,0,0,SCHEDULED,21:10:00,21:11:00,21:10:00,21:11:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.9125,17.818056,0.5,-1.6,0.5,0.5,1013,90,1.79,0.14
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,7,Balatonudvari,1:005504440_0,,,76380,76440,76380,76440,0,0,SCHEDULED,21:13:00,21:14:00,21:13:00,21:14:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.904722,17.808056,0.53,-1.57,0.53,0.53,1013,90,1.79,0.14
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,8,Fövenyes,1:005504457_0,,,76560,76620,76560,76620,0,0,SCHEDULED,21:16:00,21:17:00,21:16:00,21:17:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.893611,17.789444,0.55,-1.55,0.55,0.55,1013,90,1.79,0.14
1:28520473,19708 KÉK HULLÁM InterCity,IC KÉK HULLÁM,Tapolca,,1:2012,2026-02-01,9,Balatonakali-Dörgicse,1:005504465_0,,,76860,76920,76860,76920,0,0,SCHEDULED,21:21:00,21:22:00,21:21:00,21:22:00,2026-02-01 17:41:18.778625,mav_graphql_api,1.0,46.88,17.747778,0.54,-2.41,0.54,0.54,1013,90,2.53,0.14
