station_id,station_name,trip_id,train_number,route_name,route_short,headsign,scheduled_arrival,scheduled_departure,realtime_arrival,realtime_departure,arrival_delay,departure_delay,realtime_state,has_realtime,platform,service_date,collection_timestamp
1:005510017,Budapest-Keleti,1:30644817,73 TRAIANUS InterCity,IC MUNTENIA/TRAIANUS,"<span class=""MNR2007"">&#474;</span>",Bucureşti Nord,18600,18600,18600,18600,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:28520051,582 TOKAJ InterCity,IC TOKAJ,"<span class=""MNR2007"">&#474;</span>",Budapest-Nyugati,19500,19500,19500,19500,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:30542887,7400 BÉKÉS InterCity,IC BÉKÉS,"<span class=""MNR2007"">&#474;</span>",Lőkösháza,22200,22200,22200,22200,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:30365462,182 HERNÁD - ZEMPLÉN InterCity,IC HERNÁD/HERNÁD - ZEMPLÉN,"<span class=""MNR2007"">&#474;</span>",Hidasnémeti,23100,23100,23100,23100,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:30392637,520 HERNÁD - ZEMPLÉN InterCity,IC HERNÁD - ZEMPLÉN,"<span class=""MNR2007"">&#474;</span>",Sátoraljaújhely,23100,23100,23100,23100,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:30677971,367 HARGITA InterCity,IC CORONA/HARGITA,"<span class=""MNR2007"">&#474;</span>",Braşov,24000,24000,24000,24000,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510017,Budapest-Keleti,1:29849035,371 ZARÁND InterCity,IC KÖRÖS/MAROS/ZARÁND,"<span class=""MNR2007"">&#474;</span>",Arad,25800,25800,25800,25800,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:30.041730
1:005510033,Budapest-Nyugati,1:28522035,682 TOKAJ InterCity,IC TOKAJ,"<span class=""MNR2007"">&#474;</span>",Budapest-Keleti,13800,13800,13800,13800,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:31.103630
1:005510033,Budapest-Nyugati,1:28519560,720 NAPFÉNY InterCity,IC NAPFÉNY,"<span class=""MNR2007"">&#474;</span>",Szeged,16200,16200,16200,16200,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:31.103630
1:005513912,Debrecen,1:28520054,609 NYÍRSÉG InterCity,IC NYÍRSÉG,"<span class=""MNR2007"">&#474;</span>",Budapest-Nyugati,21720,21840,21720,21840,0,0,SCHEDULED,False,,2026-03-12,2026-03-12 17:24:33.053050
