trip_id,train_number,route_name,headsign,direction_id,service_id,service_date,stop_sequence,stop_name,stop_gtfs_id,stop_code,platform,scheduled_arrival,scheduled_departure,realtime_arrival,realtime_departure,arrival_delay,departure_delay,realtime_state,scheduled_arrival_time,scheduled_departure_time,realtime_arrival_time,realtime_departure_time,collection_timestamp,data_source,collector_version
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,0,Székesfehérvár,1:005503269_1,,1,15240,15240,15240,15240,0,0,MODIFIED,04:14:00,04:14:00,04:14:00,04:14:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,1,Dinnyés,1:005503103_1,,1,15720,15720,15660,15720,-60,0,MODIFIED,04:22:00,04:22:00,04:21:00,04:22:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,2,Agárd,1:005503244_1,,1,15840,15840,15840,15900,0,60,MODIFIED,04:24:00,04:24:00,04:24:00,04:25:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,3,Gárdony,1:005503236_2,,2,15960,16020,16020,16020,60,0,MODIFIED,04:26:00,04:27:00,04:27:00,04:27:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,4,Velencefürdő,1:005503228_1,,1,16140,16140,16140,16200,0,60,MODIFIED,04:29:00,04:29:00,04:29:00,04:30:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,5,Velence,1:005503210_1,,1,16260,16260,16260,16260,0,0,MODIFIED,04:31:00,04:31:00,04:31:00,04:31:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,6,Kápolnásnyék,1:005503202_3,,3,16380,16440,16440,16440,60,0,MODIFIED,04:33:00,04:34:00,04:34:00,04:34:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,7,Pettend,1:005503194_1,,1,16560,16620,16560,16620,0,0,MODIFIED,04:36:00,04:37:00,04:36:00,04:37:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,8,Baracska,1:005503186_1,,1,16800,16860,16800,16860,0,0,MODIFIED,04:40:00,04:41:00,04:40:00,04:41:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,9,Martonvásár,1:005503178_2,,2,16980,17040,16980,17040,0,0,MODIFIED,04:43:00,04:44:00,04:43:00,04:44:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,10,Tárnok,1:005503160_1,,1,17340,17400,17340,17400,0,0,MODIFIED,04:49:00,04:50:00,04:49:00,04:50:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,11,Érd felső,1:005505819_1,,1,17640,17640,17580,17640,-60,0,MODIFIED,04:54:00,04:54:00,04:53:00,04:54:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,12,Érdliget,1:005505801_1,,1,17700,17700,17700,17760,0,60,MODIFIED,04:55:00,04:55:00,04:55:00,04:56:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,13,Barosstelep,1:005547399_1,,1,17940,17940,17940,17940,0,0,MODIFIED,04:59:00,04:59:00,04:59:00,04:59:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,14,Budatétény,1:005540543_1,,1,18060,18060,18060,18060,0,0,MODIFIED,05:01:00,05:01:00,05:01:00,05:01:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,15,Budafok,1:005503129_2,,2,18240,18240,18240,18300,0,60,MODIFIED,05:04:00,05:04:00,05:04:00,05:05:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,16,Budapest-Kelenföld,1:005501024_7,,7,18720,18900,18540,18900,-180,0,MODIFIED,05:12:00,05:15:00,05:09:00,05:15:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,17,Ferencváros,1:005510025_4,,4,19320,19380,19440,19440,120,60,MODIFIED,05:22:00,05:23:00,05:24:00,05:24:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31287835,3519 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,18,Kőbánya-Kispest,1:005510173_8,,8,19860,19860,19980,19980,120,120,MODIFIED,05:31:00,05:31:00,05:33:00,05:33:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,0,Székesfehérvár,1:005503269_9,,9,18840,18840,18960,18960,120,120,MODIFIED,05:14:00,05:14:00,05:16:00,05:16:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,1,Dinnyés,1:005503103_1,,1,19320,19320,19320,19380,0,60,MODIFIED,05:22:00,05:22:00,05:22:00,05:23:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,2,Agárd,1:005503244_1,,1,19440,19440,19500,19560,60,120,MODIFIED,05:24:00,05:24:00,05:25:00,05:26:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,3,Gárdony,1:005503236_2,,2,19560,19620,19680,19680,120,60,MODIFIED,05:26:00,05:27:00,05:28:00,05:28:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,4,Velencefürdő,1:005503228_1,,1,19740,19740,19800,19860,60,120,MODIFIED,05:29:00,05:29:00,05:30:00,05:31:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,5,Velence,1:005503210_1,,1,19860,19860,19920,19980,60,120,MODIFIED,05:31:00,05:31:00,05:32:00,05:33:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,6,Kápolnásnyék,1:005503202_3,,3,19980,20040,20100,20160,120,120,MODIFIED,05:33:00,05:34:00,05:35:00,05:36:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,7,Pettend,1:005503194_1,,1,20160,20220,20280,20280,120,60,MODIFIED,05:36:00,05:37:00,05:38:00,05:38:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,8,Baracska,1:005503186_1,,1,20400,20460,20460,20520,60,60,MODIFIED,05:40:00,05:41:00,05:41:00,05:42:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,9,Martonvásár,1:005503178_2,,2,20580,20640,20640,20640,60,0,MODIFIED,05:43:00,05:44:00,05:44:00,05:44:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,10,Tárnok,1:005503160_1,,1,20940,21000,20940,21000,0,0,MODIFIED,05:49:00,05:50:00,05:49:00,05:50:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,11,Érd felső,1:005505819_1,,1,21240,21240,21180,21240,-60,0,MODIFIED,05:54:00,05:54:00,05:53:00,05:54:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,12,Érdliget,1:005505801_1,,1,21300,21300,21300,21360,0,60,MODIFIED,05:55:00,05:55:00,05:55:00,05:56:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,13,Barosstelep,1:005547399_1,,1,21540,21540,21540,21540,0,0,MODIFIED,05:59:00,05:59:00,05:59:00,05:59:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,14,Budatétény,1:005540543_1,,1,21660,21660,21660,21720,0,60,MODIFIED,06:01:00,06:01:00,06:01:00,06:02:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,15,Budafok,1:005503129_2,,2,21840,21840,21900,21900,60,60,MODIFIED,06:04:00,06:04:00,06:05:00,06:05:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,16,Budapest-Kelenföld,1:005501024_10,,10,22320,22500,22260,22500,-60,0,MODIFIED,06:12:00,06:15:00,06:11:00,06:15:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,17,Ferencváros,1:005510025_4,,4,22920,22980,23040,23100,120,120,MODIFIED,06:22:00,06:23:00,06:24:00,06:25:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:31292314,3529 személyvonat,G43,Kőbánya-Kispest,,1:2496,2026-05-22,18,Kőbánya-Kispest,1:005510173_8,,8,23460,23460,23820,23820,360,360,MODIFIED,06:31:00,06:31:00,06:37:00,06:37:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,0,Kőbánya-Kispest,1:005510173_8,,8,19620,19620,19620,19620,0,0,MODIFIED,05:27:00,05:27:00,05:27:00,05:27:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,1,Ferencváros,1:005510025_3,,3,20040,20100,20340,20400,300,300,MODIFIED,05:34:00,05:35:00,05:39:00,05:40:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,2,Budapest-Kelenföld,1:005501024_15,,15,20580,20700,20880,20880,300,180,MODIFIED,05:43:00,05:45:00,05:48:00,05:48:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,3,Budafok,1:005503129_1,,1,21000,21000,21180,21180,180,180,MODIFIED,05:50:00,05:50:00,05:53:00,05:53:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,4,Budatétény,1:005540543_2,,2,21180,21180,21360,21360,180,180,MODIFIED,05:53:00,05:53:00,05:56:00,05:56:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,5,Barosstelep,1:005547399_2,,2,21300,21300,21480,21480,180,180,MODIFIED,05:55:00,05:55:00,05:58:00,05:58:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,6,Érdliget,1:005505801_2,,2,21480,21480,21660,21660,180,180,MODIFIED,05:58:00,05:58:00,06:01:00,06:01:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,7,Érd felső,1:005505819_2,,2,21600,21600,21780,21780,180,180,MODIFIED,06:00:00,06:00:00,06:03:00,06:03:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,8,Tárnok,1:005503160_1,,1,21840,21900,21960,22020,120,120,MODIFIED,06:04:00,06:05:00,06:06:00,06:07:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,9,Martonvásár,1:005503178_3,,3,22200,22260,22320,22320,120,60,MODIFIED,06:10:00,06:11:00,06:12:00,06:12:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,10,Baracska,1:005503186_2,,2,22380,22440,22440,22500,60,60,MODIFIED,06:13:00,06:14:00,06:14:00,06:15:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,11,Kápolnásnyék,1:005503202_2,,2,22680,22740,22740,22740,60,0,MODIFIED,06:18:00,06:19:00,06:19:00,06:19:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,12,Velence,1:005503210_2,,2,22860,22860,22860,22920,0,60,MODIFIED,06:21:00,06:21:00,06:21:00,06:22:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,13,Velencefürdő,1:005503228_2,,2,22980,22980,22980,23040,0,60,MODIFIED,06:23:00,06:23:00,06:23:00,06:24:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,14,Gárdony,1:005503236_3,,3,23100,23160,23100,23160,0,0,MODIFIED,06:25:00,06:26:00,06:25:00,06:26:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,15,Agárd,1:005503244_2,,2,23220,23280,23220,23280,0,0,MODIFIED,06:27:00,06:28:00,06:27:00,06:28:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32737699,3510 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,16,Székesfehérvár,1:005503269_3,,3,24060,24060,23940,23940,-120,-120,MODIFIED,06:41:00,06:41:00,06:39:00,06:39:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,0,Kőbánya-Kispest,1:005510173_5,,5,23220,23220,23520,23520,300,300,MODIFIED,06:27:00,06:27:00,06:32:00,06:32:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,1,Ferencváros,1:005510025_3,,3,23640,23700,24000,24000,360,300,MODIFIED,06:34:00,06:35:00,06:40:00,06:40:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,2,Budapest-Kelenföld,1:005501024_10,,10,24180,24300,24540,24600,360,300,MODIFIED,06:43:00,06:45:00,06:49:00,06:50:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,3,Budafok,1:005503129_1,,1,24600,24600,24900,24900,300,300,MODIFIED,06:50:00,06:50:00,06:55:00,06:55:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,4,Budatétény,1:005540543_2,,2,24780,24780,25080,25080,300,300,MODIFIED,06:53:00,06:53:00,06:58:00,06:58:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,5,Barosstelep,1:005547399_2,,2,24900,24900,25200,25200,300,300,MODIFIED,06:55:00,06:55:00,07:00:00,07:00:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
1:32738419,3512 személyvonat,G43,Székesfehérvár,,1:2496,2026-05-22,6,Érdliget,1:005505801_2,,2,25080,25080,25380,25380,300,300,MODIFIED,06:58:00,06:58:00,07:03:00,07:03:00,2026-05-23T00:00:22.304780,mav_graphql_api,1.0
