station_name,station_lat,station_lon,observation_time,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,precipitation_1h,weather_main,weather_description,collection_hour
Búcsúszentlászló,46.793056,16.932778,2026-03-15 21:35:51.907149,6.88,4.7,6.88,6.88,1015,80,3.09,11,6,0.0,Clear,clear sky,21
Angyalföld,47.549722,19.09,2026-03-15 21:35:53.144444,7.95,7.95,7.95,7.95,1014,56,0.97,23,1,0.0,Clear,clear sky,21
Felsőjánosfa,46.841389,16.544167,2026-03-15 21:35:54.384080,6.69,4.5,6.69,6.69,1015,80,3.06,35,9,0.0,Clear,clear sky,21
Pankasz,46.835833,16.496111,2026-03-15 21:35:55.623265,6.4,4.08,6.4,6.4,1015,80,3.16,35,10,0.0,Clear,clear sky,21
Nagyrákos,46.827222,16.455556,2026-03-15 21:35:56.858344,6.36,4.02,6.36,6.36,1015,80,3.17,36,10,0.0,Clear,clear sky,21
Őriszentpéter,46.828889,16.415278,2026-03-15 21:35:58.095458,6.47,4.21,6.47,6.47,1015,81,3.09,37,12,0.0,Clouds,few clouds,21
Törökbálint,47.45,18.908611,2026-03-15 21:35:59.326860,7.79,7.79,7.79,7.79,1014,56,1.28,11,1,0.0,Clear,clear sky,21
Bicske alsó,47.486389,18.642778,2026-03-15 21:36:00.575195,7.95,7.2,7.95,7.95,1014,59,1.6,346,6,0.0,Clear,clear sky,21
Bajánsenye,46.818056,16.358056,2026-03-15 21:36:01.813321,6.54,4.27,6.54,6.54,1015,81,3.13,37,12,0.0,Clouds,few clouds,21
Aquincum,47.566218,19.048273,2026-03-15 21:36:03.054717,7.65,7.65,7.65,7.65,1014,57,1.06,3,1,0.0,Clear,clear sky,21
Piliscsév,47.673889,18.791389,2026-03-15 21:36:04.294517,7.6,7.6,7.6,7.6,1014,61,0.88,354,8,0.0,Clear,clear sky,21
Tát,47.741201,18.64783,2026-03-15 21:36:05.541190,8.05,8.05,8.05,8.05,1014,62,0.37,31,11,0.0,Clouds,few clouds,21
Süttő felső,47.756667,18.437222,2026-03-15 21:36:06.777542,7.96,7.96,7.96,7.96,1014,62,0.21,65,9,0.0,Clear,clear sky,21
Budatétény,47.405,19.016389,2026-03-15 21:36:08.016441,7.66,7.66,7.66,7.66,1014,55,1.13,42,0,0.0,Clear,clear sky,21
Seregélyes-Szőlőhegy,47.119444,18.612222,2026-03-15 21:36:09.256659,7.83,7.17,7.83,7.83,1014,57,1.5,43,5,0.0,Clear,clear sky,21
Gödöllő-Állami telepek,47.564444,19.375556,2026-03-15 21:36:10.495079,6.97,6.97,6.97,6.97,1014,57,0.93,62,0,0.0,Clear,clear sky,21
Dunakeszi alsó,47.607778,19.128889,2026-03-15 21:36:11.738660,7.85,7.85,7.85,7.85,1014,57,0.93,16,1,0.0,Clear,clear sky,21
Vác-Alsóváros,47.773056,19.149722,2026-03-15 21:36:12.979102,7.76,7.76,7.76,7.76,1014,61,0.64,343,4,0.0,Clear,clear sky,21
Szob alsó,47.816667,18.8725,2026-03-15 21:36:14.218920,8.0,8.0,8.0,8.0,1014,62,0.44,348,9,0.0,Clear,clear sky,21
Zalaszentmihály-Pacsa,46.7225,16.951944,2026-03-15 21:36:15.464652,6.81,4.68,6.81,6.81,1015,79,3.0,9,6,0.0,Clear,clear sky,21
Pötréte,46.682778,16.9575,2026-03-15 21:36:16.704202,6.76,4.69,6.76,6.76,1015,78,2.9,9,6,0.0,Clear,clear sky,21
Felsőrajk,46.667222,16.982778,2026-03-15 21:36:17.945780,6.74,4.6,6.74,6.74,1015,77,2.99,7,6,0.0,Clear,clear sky,21
Gelse,46.600556,16.982778,2026-03-15 21:36:19.183412,6.62,4.62,6.62,6.62,1015,73,2.76,8,6,0.0,Clear,clear sky,21
Őrtilos,46.297778,16.887778,2026-03-15 21:36:20.420972,6.35,6.35,6.35,6.35,1014,69,1.26,45,6,0.0,Clear,clear sky,21
Zákány,46.251944,16.9425,2026-03-15 21:36:21.653583,6.23,6.23,6.23,6.23,1014,67,1.28,76,6,0.0,Clear,clear sky,21
Berzence,46.201389,17.143611,2026-03-15 21:36:22.891010,6.72,5.69,6.72,6.72,1014,64,1.69,107,5,0.0,Clear,clear sky,21
Somogyudvarhely,46.163333,17.179722,2026-03-15 21:36:24.135707,6.72,5.59,6.72,6.72,1014,64,1.78,109,5,0.0,Clear,clear sky,21
Bélavár,46.122778,17.207778,2026-03-15 21:36:25.367111,6.8,5.6,6.8,6.8,1014,64,1.86,108,5,0.0,Clear,clear sky,21
Vízvár,46.101389,17.239444,2026-03-15 21:36:26.609787,6.72,5.49,6.72,6.72,1014,64,1.88,107,4,0.0,Clear,clear sky,21
Babócsa,46.028359,17.342276,2026-03-15 21:36:27.855175,6.77,5.53,6.77,6.77,1014,65,1.9,106,4,0.0,Clear,clear sky,21
Péterhida-Komlósd,46.006667,17.358056,2026-03-15 21:36:29.091474,6.86,5.67,6.86,6.86,1014,65,1.86,105,3,0.0,Clear,clear sky,21
Barcs,45.951944,17.446944,2026-03-15 21:36:30.329687,6.96,5.83,6.96,6.96,1014,64,1.82,108,2,0.0,Clear,clear sky,21
Barcs felső,45.958333,17.486389,2026-03-15 21:36:31.567707,6.91,5.73,6.91,6.91,1014,63,1.86,110,2,0.0,Clear,clear sky,21
Középrigóc,45.970556,17.525,2026-03-15 21:36:32.807314,6.87,5.65,6.87,6.87,1014,63,1.89,112,2,0.0,Clear,clear sky,21
Darány,45.992222,17.598611,2026-03-15 21:36:34.049163,6.98,5.69,6.98,6.98,1014,62,1.98,116,2,0.0,Clear,clear sky,21
Kisdobsza,46.012222,17.668056,2026-03-15 21:36:35.286685,7.14,5.91,7.14,7.14,1014,60,1.95,117,1,0.0,Clear,clear sky,21
Nemeske,46.023333,17.705278,2026-03-15 21:36:36.526865,7.21,6.01,7.21,7.21,1014,60,1.93,117,1,0.0,Clear,clear sky,21
Molvány,46.035278,17.748611,2026-03-15 21:36:37.763161,7.26,6.2,7.26,7.26,1014,59,1.8,115,1,0.0,Clear,clear sky,21
Szigetvár,46.043333,17.801944,2026-03-15 21:36:39.003138,7.29,6.24,7.29,7.29,1014,59,1.79,115,1,0.0,Clear,clear sky,21
Nagypeterd,46.039444,17.871667,2026-03-15 21:36:40.241366,7.37,6.4,7.37,7.37,1014,58,1.72,113,0,0.0,Clear,clear sky,21
Szentdénes,46.036667,17.926944,2026-03-15 21:36:41.479050,7.35,6.4,7.35,7.35,1014,58,1.7,112,0,0.0,Clear,clear sky,21
Háros,47.412222,19.035,2026-03-15 21:36:42.713979,7.66,7.66,7.66,7.66,1014,55,1.13,42,0,0.0,Clear,clear sky,21
Nagytétény-Diósd,47.398333,18.974444,2026-03-15 21:36:43.954747,8.03,8.03,8.03,8.03,1014,56,1.16,41,0,0.0,Clear,clear sky,21
Érdliget,47.390278,18.937778,2026-03-15 21:36:45.188751,8.01,8.01,8.01,8.01,1014,56,1.16,32,1,0.0,Clear,clear sky,21
Érd felső,47.381111,18.922222,2026-03-15 21:36:46.420710,7.76,7.76,7.76,7.76,1014,56,1.21,22,1,0.0,Clear,clear sky,21
Érd,47.369722,18.900833,2026-03-15 21:36:47.660656,7.88,7.88,7.88,7.88,1014,56,1.19,29,1,0.0,Clear,clear sky,21
Százhalombatta,47.322222,18.899167,2026-03-15 21:36:48.891764,7.85,7.85,7.85,7.85,1014,57,1.21,43,1,0.0,Clear,clear sky,21
